DEPTH,CALI,DENC,DENS,DTC,GR,NEUT,SP
2697.5,17.546,-0.0109,2.108,92.497,12.4372,0.3617,200.2201
2698.0,17.496,-0.0196,2.112,90.6698,13.3838,0.3595,200.327
2698.5,17.3961,-0.0304,2.13,90.0283,13.7016,0.3393,200.5549
2699.0,17.3961,-0.0347,2.15,90.1108,13.4757,0.3493,200.6202
2699.5,17.3961,-0.0412,2.165,91.2217,12.9513,0.3332,200.4913
2700.0,17.3961,-0.0499,2.172,92.6573,12.0068,0.3304,200.4705
2700.5,17.446,-0.0542,2.166,94.118,10.9655,0.3455,200.4705
2701.0,17.446,-0.0434,2.152,94.7857,10.6462,0.3573,200.4705
2701.5,17.496,-0.0434,2.136,95.0284,10.7678,0.3534,200.4705
2702.0,17.496,-0.0521,2.131,95.3028,10.9572,0.3538,200.4839
2702.5,17.496,-0.0434,2.123,95.348,10.942,0.352,200.5537
2703.0,17.496,-0.0304,2.131,95.0281,10.7064,0.3589,200.5552
2703.5,17.496,-0.0001,2.125,94.634,10.754,0.3544,200.2335
2704.0,17.496,-0.0131,2.144,94.3719,11.0808,0.3483,199.7609
2704.5,17.496,-0.0304,2.148,94.4961,11.1119,0.3597,199.6406
2705.0,17.496,-0.0369,2.14,95.1525,11.3137,0.3768,199.9269
2705.5,17.496,-0.0434,2.127,95.977,12.3487,0.3764,200.2238
2706.0,17.496,-0.0629,2.112,96.3468,13.5876,0.3652,200.3456
2706.5,17.496,-0.0499,2.113,96.3283,14.2903,0.3542,200.2543
2707.0,17.546,-0.0542,2.121,95.8714,13.9684,0.3687,200.2049
2707.5,17.546,-0.0434,2.123,95.6429,13.2249,0.3764,200.2049
2708.0,17.546,-0.0304,2.109,95.9471,12.9409,0.3978,200.2049
2708.5,17.546,-0.0456,2.097,96.2687,12.5643,0.4165,200.2049
2709.0,17.546,-0.0694,2.098,96.0274,12.6244,0.4387,200.1481
2709.5,17.546,-0.0716,2.109,95.4573,12.7191,0.4092,200.1093
2710.0,17.546,-0.0737,2.131,94.8337,13.3603,0.3961,200.2972
2710.5,17.546,-0.0629,2.141,94.2951,13.8979,0.4045,200.2604
2711.0,17.5959,-0.0521,2.142,94.1177,13.2767,0.3943,200.2626
2711.5,17.5959,-0.0391,2.125,94.3194,12.4897,0.397,200.3466
2712.0,17.6459,-0.0456,2.124,93.9441,12.0033,0.3984,200.3277
2712.5,17.6459,-0.0174,2.129,92.6745,11.948,0.3833,200.3923
2713.0,17.6459,-0.0044,2.13,91.5572,11.9411,0.3788,200.4705
2713.5,17.5959,-0.0087,2.14,90.8083,11.8844,0.3776,200.4688
2714.0,17.546,-0.0326,2.141,90.1079,11.9397,0.366,200.4187
2714.5,17.546,-0.0347,2.144,90.2284,11.5597,0.354,200.1285
2715.0,17.546,-0.0369,2.142,91.0832,10.5481,0.351,199.431
2715.5,17.5959,-0.0456,2.151,91.6016,10.0244,0.3499,198.7441
2716.0,17.5959,-0.0282,2.155,92.3781,10.6469,0.3611,198.8404
